now_time,predict_time,id,lon,lat,10UV
2015-09-01 08:00:00,2015-09-01 20:00:00,46735,119.555,23.567,4.2369271768010766
2015-09-03 08:00:00,2015-09-03 20:00:00,46735,119.555,23.567,1.875255188518464
2015-09-04 08:00:00,2015-09-04 20:00:00,46735,119.555,23.567,2.772763418940711
2015-09-05 08:00:00,2015-09-05 20:00:00,46735,119.555,23.567,5.536970999854499
2015-09-06 08:00:00,2015-09-06 20:00:00,46735,119.555,23.567,4.644715026142549
2015-09-07 08:00:00,2015-09-07 20:00:00,46735,119.555,23.567,11.323741460027337
2015-09-08 08:00:00,2015-09-08 20:00:00,46735,119.555,23.567,10.646990201581913
2015-09-09 08:00:00,2015-09-09 20:00:00,46735,119.555,23.567,10.762931008001214
2015-09-10 08:00:00,2015-09-10 20:00:00,46735,119.555,23.567,7.766230163959437
2015-09-11 08:00:00,2015-09-11 20:00:00,46735,119.555,23.567,6.818994245133347
2015-09-12 08:00:00,2015-09-12 20:00:00,46735,119.555,23.567,10.436584740802068
2015-09-14 08:00:00,2015-09-14 20:00:00,46735,119.555,23.567,9.395533925740573
2015-09-15 08:00:00,2015-09-15 20:00:00,46735,119.555,23.567,8.928202021602562
2015-09-16 08:00:00,2015-09-16 20:00:00,46735,119.555,23.567,8.548778975247558
2015-09-17 08:00:00,2015-09-17 20:00:00,46735,119.555,23.567,9.935827271713991
2015-09-18 08:00:00,2015-09-18 20:00:00,46735,119.555,23.567,8.995640297848368
2015-09-19 08:00:00,2015-09-19 20:00:00,46735,119.555,23.567,6.7843104368657245
2015-09-20 08:00:00,2015-09-20 20:00:00,46735,119.555,23.567,3.1954119893953727
2015-09-21 08:00:00,2015-09-21 20:00:00,46735,119.555,23.567,2.6846259984983853
2015-09-22 08:00:00,2015-09-22 20:00:00,46735,119.555,23.567,2.686006845711694
2015-09-23 08:00:00,2015-09-23 20:00:00,46735,119.555,23.567,3.344928244625504
2015-09-24 08:00:00,2015-09-24 20:00:00,46735,119.555,23.567,5.850108043594803
2015-09-25 08:00:00,2015-09-25 20:00:00,46735,119.555,23.567,9.704931930700424
2015-09-26 08:00:00,2015-09-26 20:00:00,46735,119.555,23.567,13.249227260535038
2015-09-27 08:00:00,2015-09-27 20:00:00,46735,119.555,23.567,14.959218565004086
2015-09-28 08:00:00,2015-09-28 20:00:00,46735,119.555,23.567,17.384311390096492
2015-09-29 08:00:00,2015-09-29 20:00:00,46735,119.555,23.567,11.30180776057498
2015-09-30 08:00:00,2015-09-30 20:00:00,46735,119.555,23.567,5.495878086302105
2015-10-01 08:00:00,2015-10-01 20:00:00,46735,119.555,23.567,9.900288774996703
2015-10-02 08:00:00,2015-10-02 20:00:00,46735,119.555,23.567,9.561601760755224
2015-10-03 08:00:00,2015-10-03 20:00:00,46735,119.555,23.567,5.864845194999285
2015-10-04 08:00:00,2015-10-04 20:00:00,46735,119.555,23.567,5.167207407538591
2015-10-05 08:00:00,2015-10-05 20:00:00,46735,119.555,23.567,6.43759181227805
2015-10-06 08:00:00,2015-10-06 20:00:00,46735,119.555,23.567,5.931201745527072
2015-10-07 08:00:00,2015-10-07 20:00:00,46735,119.555,23.567,2.81818014088256
